30;7786626;J3666
154;28980100;J3699PC
154;034391T1;K4015
154;30250100;K4051
154;054708R;J3670R
154;1076749M1;P5073
154;1077749M1;H2198
154;71393893;J3698PC
154;72501530;P5073
154;16006845;K4119
154;836647133;H2186
46;6007001743003;J3512R
46;6007001744001;J3527R
65;671838;J3009
65;671839;J3010
65;3051818;J3015
65;4055092;J3115
65;4508865;K4069
65;702256-C1;P5054
125;29100015;K4077
125;2914930000;J3568R
155;30F75A USSR;Z5125
155;80-460812;K4056
155;A411000002CN;J3221
48;238H1109080;J3315
48;240-101-7040;T2171
128;200066;J3484
128;200067;J3485
126;B-02016;K4088
126;B-02142;J3621
126;3920947004;J3036
113;6667352;P5180
113;6675517;H2048
113;6598492;J3016
113;6598362;J3558
127;297561/00;K4023
35;13721247405;J3427
35;13721715880;J3413
35;1-13721707050;J3413
35;AM-34770;H2085
129;393957;J3501
67;257024;J3291
67;266222;J3364
67;1093682;J3291
67;3311624;J3290
67;35291970;J3363
67;87418366;J3509R
67;87418367;J3510R
67;87803261;H2212
67;034391T1;K4015
67;126781A1;J3528R
67;126782A1;J3529R
67;128781A1;J3528R
67;128782A1;J3529R
67;150794A1;H2046
67;153233A1;K4107
67;222421A1;J3520R
67;222422A1;J3521R
67;3125255/R1;J3485
67;3125342/R2;J3484(CD)
67;A-143382/45625;K4015
67;A-171255;J3587
67;A-171256;J3588
67;A-32297;K4037
67;A-43656;J3455
67;A-43657;J3456
67;A-58712;P5036
67;D-43800 ;K4099
67;D-43801;K4099
67;D-O529322-01;K4068
67;E-0663234C;K4099
67;J-908616;H2167
67;L-52029;K4097
67;R-25844;K4028
67;S-238646;J3289
67;T-1950555;J3685 C/D
68;944412;K4078
68;1318821;J3695R
68;1318822;J3696R
68;1402337;J3567R
68;6421537;J3310
68;119-4740;K4055
68;1N-8164;J3326
68;1P-2299;P5054
68;1P-7360;J3097
68;1P-7716;J3096
68;1P-8462;J3109
68;1R-0659;T2040
68;1R-0659;T2040
68;1R-0714;H2191
68;1R-0716;H2044
68;1R-0723;K4046
68;1R-0732;K4046
68;1R-0734;H2088
68;1R-0739;H2033
68;1R-0746;K4033
68;1R-0751;P5119
68;1S-6079;J3024
68;1W-0392;J3103
68;2M-2626;J3023
68;2P-4004;H2033
68;2P-4005;H2044
68;2P-5834;K4033
68;2S-1284;J3104
68;2S-1285;J3102
68;2S-1286;J3100
68;2S-1287;J3107
68;3S-4745;J3111
68;3S-9606;J3023
68;4A-332;K4047
68;4F-2205;K4048
68;4H-8792;Z5059
68;4I- 7575;J3503
68;4J-0816;K4045
